67 00             pTos species
67 26             pTos cycleSpeed
67 26             pTos dir
67 26             pTos distance
67 26             pTos doFrom
67 26             pTos mark
67 26             pTos maskLoop
67 26             pTos pathPts
67 26             pTos points
67 26             pTos theLastY
67 26             pTos underBits
67 26             pTos value
67 26             pTos who
67 28             pTos _approachVerbs
67 28             pTos doTo
67 28             pTos gy
67 28             pTos maskCel
67 28             pTos moveSpeed
67 28             pTos points
67 28             pTos pUnderBits
67 28             pTos theLastVal
67 28             pTos value
67 28             pTos y
67 2a             pTos  // (property opcode in procedure)
67 2a             pTos cycleCnt
67 2a             pTos doTake
67 2a             pTos highlightColor
67 2a             pTos loop
67 2a             pTos topBordColor
67 2a             pTos value
67 2a             pTos xStep
67 2c             pTos client
67 2c             pTos endPt
67 2c             pTos lftBordColor
67 2c             pTos obstacles
67 2c             pTos oldCycSpd
67 2c             pTos us
67 2c             pTos view
67 2c             pTos yStep
67 2e             pTos  // (property opcode in procedure)
67 2e             pTos _delay
67 2e             pTos _strength
67 2e             pTos description
67 2e             pTos loop
67 2e             pTos obstacles
67 2e             pTos oldMvSpd
67 2e             pTos rgtBordColor
67 2e             pTos signal
67 2e             pTos sliderView
67 2e             pTos theObj
67 2e             pTos tpX
67 2e             pTos view
67 30             pTos botBordColor
67 30             pTos cel
67 30             pTos illegalBits
67 30             pTos loop
67 30             pTos owner
67 30             pTos selector
67 30             pTos sliderLoop
67 30             pTos tpY
67 30             pTos who
67 32             pTos bevelWid
67 32             pTos cel
67 32             pTos sliderCel
67 32             pTos them
67 34             pTos priority
67 34             pTos shadowWid
67 34             pTos signal
67 34             pTos sTop
67 34             pTos targetX
67 34             pTos value
67 36             pTos lsTop
67 36             pTos sLeft
67 36             pTos targetY
67 36             pTos underBits
67 38             pTos lsLeft
67 38             pTos signal
67 3a             pTos lsBottom
67 3a             pTos maxY
67 3c             pTos lsRight
67 3c             pTos minY
67 40             pTos insideColor
67 40             pTos yStep
67 42             pTos brTop
67 42             pTos topBordColor2
67 44             pTos brLeft
67 44             pTos lftBordColor2
67 44             pTos selector
67 46             pTos botBordColor2
67 46             pTos bottomValue
67 46             pTos brBottom
67 48             pTos brRight
67 48             pTos rgtBordColor2
67 48             pTos topValue
67 4e             pTos script
67 50             pTos shadWid
67 52             pTos bevWid
67 56             pTos  // (property opcode in procedure)
67 56             pTos bust
67 56             pTos cycleType
67 56             pTos illegalBits
67 58             pTos eyes
67 58             pTos hesitation
67 5a             pTos  // (property opcode in procedure)
67 5a             pTos mouth
67 5a             pTos pauseCel
67 5c             pTos minPause
67 5c             pTos ticks
67 5c             pTos xStep
67 5e             pTos disposeWhenDone
67 5e             pTos maxPause
67 60             pTos caller
67 60             pTos minCycles
67 62             pTos maxCycles
67 64             pTos counter
67 64             pTos mover
67 66             pTos state
67 72             pTos ticks
67 78             pTos parriedCycles
67 7a             pTos _parts
67 7e             pTos _plan
67 80             pTos _technique
67 82             pTos _strength




