38 0080          pushi 80                       // $80 indexOf
38 01a7          pushi 1a7                      // $1a7 intermediate
38 01a8          pushi 1a8                      // $1a8 atEnd
38 01a9          pushi 1a9                      // $1a9 surrogate
38 01ae          pushi 1ae                      // $1ae loopIndex
38 01af          pushi 1af                      // $1af numOfLoops
38 01b0          pushi 1b0                      // $1b0 loopIsCorrect
38 01b3          pushi 1b3                      // $1b3 oldCycleSpeed
38 01b8          pushi 1b8                      // $1b8 doCast
38 01ba          pushi 1ba                      // $1ba vWalking
38 01bb          pushi 1bb                      // $1bb vStopped
38 01c2          pushi 1c2                      // $1c2 array
38 01c3          pushi 1c3                      // $1c3 curNode
38 01c4          pushi 1c4                      // $1c4 curPt
38 01c5          pushi 1c5                      // $1c5 closed
38 01c7          pushi 1c7                      // $1c7 setCur
38 01c8          pushi 1c8                      // $1c8 setCurClosest
38 01c9          pushi 1c9                      // $1c9 insertPt
38 01ca          pushi 1ca                      // $1ca deletePt
38 01cb          pushi 1cb                      // $1cb movePt
38 01cc          pushi 1cc                      // $1cc undo
38 01cd          pushi 1cd                      // $1cd saveForUndo
38 01ce          pushi 1ce                      // $1ce getDistToLine
38 01cf          pushi 1cf                      // $1cf getDistToPt
38 01d0          pushi 1d0                      // $1d0 startRedraw
38 01d1          pushi 1d1                      // $1d1 endRedraw
38 01d2          pushi 1d2                      // $1d2 eachLineDo
38 01d3          pushi 1d3                      // $1d3 writeObstacle
38 01d4          pushi 1d4                      // $1d4 writeFile
38 01d5          pushi 1d5                      // $1d5 getAccessType
38 01d6          pushi 1d6                      // $1d6 curPolygon
38 01df          pushi 1df                      // $1df selectPt
38 01e0          pushi 1e0                      // $1e0 addPt
38 01e1          pushi 1e1                      // $1e1 finishAdding
38 01e2          pushi 1e2                      // $1e2 advanceRetreat
38 01e3          pushi 1e3                      // $1e3 readObstacles
38 01e4          pushi 1e4                      // $1e4 writeObstacles
38 01e5          pushi 1e5                      // $1e5 showMap
38 01e6          pushi 1e6                      // $1e6 exit
38 01ea          pushi 1ea                      // $1ea sliderCel
38 01f0          pushi 1f0                      // $1f0 selector
38 01f2          pushi 1f2                      // $1f2 topValue
38 01f3          pushi 1f3                      // $1f3 valueToPosn
38 01f4          pushi 1f4                      // $1f4 posnToValue
38 01f5          pushi 1f5                      // $1f5 cursorInc
38 01f8          pushi 1f8                      // $1f8 joyInc
38 01f9          pushi 1f9                      // $1f9 bust
38 01fa          pushi 1fa                      // $1fa eyes
38 01fb          pushi 1fb                      // $1fb mouth
38 01fd          pushi 1fd                      // $1fd say
38 01fe          pushi 1fe                      // $1fe startAudio
38 01ff          pushi 1ff                      // $1ff startText
38 0203          pushi 203                      // $203 _head
38 0204          pushi 204                      // $204 moveHead
38 0205          pushi 205                      // $205 beard
38 0206          pushi 206                      // $206 abnormal
38 0208          pushi 208                      // $208 egoSpeed
38 020b          pushi 20b                      // $20b lookAround
38 020c          pushi 20c                      // $20c normalize
38 020d          pushi 20d                      // $20d teleX
38 020e          pushi 20e                      // $20e teleY
38 020f          pushi 20f                      // $20f moves
38 0212          pushi 212                      // $212 doTo
38 0213          pushi 213                      // $213 doTake
38 0214          pushi 214                      // $214 us
38 0215          pushi 215                      // $215 usThreat
38 0216          pushi 216                      // $216 usMills
38 0218          pushi 218                      // $218 themThreat
38 021a          pushi 21a                      // $21a minimax
38 021b          pushi 21b                      // $21b eval
38 021c          pushi 21c                      // $21c tally
38 021d          pushi 21d                      // $21d tryAPlace
38 021e          pushi 21e                      // $21e tryAFrom
38 021f          pushi 21f                      // $21f tryATo
38 0220          pushi 220                      // $220 tryATake
38 0221          pushi 221                      // $221 tryAMove
38 0222          pushi 222                      // $222 findLoners
38 0223          pushi 223                      // $223 inMill
38 0224          pushi 224                      // $224 doMove
38 0225          pushi 225                      // $225 unDoMove
38 0226          pushi 226                      // $226 isValid
38 0227          pushi 227                      // $227 lowerize
38 0228          pushi 228                      // $228 weMeetAgain
38 0229          pushi 229                      // $229 offRoad
38 022a          pushi 22a                      // $22a secondSearch
38 022b          pushi 22b                      // $22b charFirstTalk
38 022c          pushi 22c                      // $22c qFight
38 022d          pushi 22d                      // $22d gaveManBucks
38 022e          pushi 22e                      // $22e offeredEmerald
38 022f          pushi 22f                      // $22f hurry
38 0230          pushi 230                      // $230 blewHorn
38 0231          pushi 231                      // $231 womanStatus
38 0232          pushi 232                      // $232 poachStatus
38 0233          pushi 233                      // $233 section
38 0234          pushi 234                      // $234 whichChar
38 0235          pushi 235                      // $235 charObj
38 0236          pushi 236                      // $236 travelDir
38 0237          pushi 237                      // $237 travelSect
38 0238          pushi 238                      // $238 theTimer
38 0239          pushi 239                      // $239 enterDir
38 023a          pushi 23a                      // $23a data
38 023b          pushi 23b                      // $23b columns
38 023c          pushi 23c                      // $23c rows
38 023d          pushi 23d                      // $23d maxElement
38 023e          pushi 23e                      // $23e fight
38 023f          pushi 23f                      // $23f opponent
38 0240          pushi 240                      // $240 idleCycles
38 0241          pushi 241                      // $241 parriedCycles
38 0244          pushi 244                      // $244 _plan
38 0245          pushi 245                      // $245 _technique
38 0246          pushi 246                      // $246 _strength
38 0247          pushi 247                      // $247 parts
38 0248          pushi 248                      // $248 techniques
38 0249          pushi 249                      // $249 notice
38 024a          pushi 24a                      // $24a suffer
38 024b          pushi 24b                      // $24b agonize
38 024c          pushi 24c                      // $24c telegraph
38 024d          pushi 24d                      // $24d inflict
38 024e          pushi 24e                      // $24e plan
38 024f          pushi 24f                      // $24f technique
38 0250          pushi 250                      // $250 target
38 0251          pushi 251                      // $251 success
38 0252          pushi 252                      // $252 strength
38 0256          pushi 256                      // $256 delay
38 0258          pushi 258                      // $258 badGuy
38 0259          pushi 259                      // $259 chanceTable
38 025b          pushi 25b                      // $25b tpY
38 025c          pushi 25c                      // $25c givePriorMoney
38 025d          pushi 25d                      // $25d wherePrior
38 025e          pushi 25e                      // $25e fulkStatus
38 025f          pushi 25f                      // $25f whichDoor
38 0260          pushi 260                      // $260 gobletTipped
38 0261          pushi 261                      // $261 backFromJewels
38 0262          pushi 262                      // $262 waterDie
38 0263          pushi 263                      // $263 firstTimeTalk
38 0264          pushi 264                      // $264 noPriorExperience
38 0265          pushi 265                      // $265 moneyThree
38 0266          pushi 266                      // $266 firstTimeEnter
38 0267          pushi 267                      // $267 stairMessage
38 0268          pushi 268                      // $268 stairsMessage
38 0269          pushi 269                      // $269 deathReason
38 026a          pushi 26a                      // $26a roomToDie
38 026c          pushi 26c                      // $26c tFULK
38 026d          pushi 26d                      // $26d tPRIOR
38 0271          pushi 271                      // $271 outBoat
38 0273          pushi 273                      // $273 firstLook
38 0274          pushi 274                      // $274 coinsLeft
38 0275          pushi 275                      // $275 firstShortTimer
38 0276          pushi 276                      // $276 boysRescued
38 0277          pushi 277                      // $277 firstAfterRescue
38 0278          pushi 278                      // $278 timerHasFired
38 0279          pushi 279                      // $279 tooLate
38 027a          pushi 27a                      // $27a longTimerGone
38 027b          pushi 27b                      // $27b trapDoorOpen
38 027d          pushi 27d                      // $27d timeToDie
38 027e          pushi 27e                      // $27e guardsGone
38 027f          pushi 27f                      // $27f neverBefore
38 0280          pushi 280                      // $280 numberCoins
38 0281          pushi 281                      // $281 valueCoins
38 0282          pushi 282                      // $282 doneTalking
38 0283          pushi 283                      // $283 coinsDoneBeenTook
38 0284          pushi 284                      // $284 firstPickpocket
38 0285          pushi 285                      // $285 firstTalkMorgan
38 0286          pushi 286                      // $286 firstClickF3Talk
38 0287          pushi 287                      // $287 firstClickMan13
38 0288          pushi 288                      // $288 firstClickMan20
38 0289          pushi 289                      // $289 firstClikMan24
38 028a          pushi 28a                      // $28a firstClickF26
38 028b          pushi 28b                      // $28b man4FirstClickTk
38 028c          pushi 28c                      // $28c talkedWithMan4
38 028d          pushi 28d                      // $28d doneGambled
38 028e          pushi 28e                      // $28e firstAfterGambling
38 028f          pushi 28f                      // $28f firstCricket
38 0290          pushi 290                      // $290 boughtRoseOil
38 0291          pushi 291                      // $291 firstChristy
38 0292          pushi 292                      // $292 walkingOut
38 0293          pushi 293                      // $293 mX
38 0294          pushi 294                      // $294 mY
38 0295          pushi 295                      // $295 dialog
38 0299          pushi 299                      // $299 giver
38 029a          pushi 29a                      // $29a taken
38 029c          pushi 29c                      // $29c taker
38 029d          pushi 29d                      // $29d keepStr
38 029e          pushi 29e                      // $29e giveStr
38 029f          pushi 29f                      // $29f newGuise
38 02a0          pushi 2a0                      // $2a0 garbX
38 02a1          pushi 2a1                      // $2a1 garbY
38 02a2          pushi 2a2                      // $2a2 notKilled
38 02a8          pushi 2a8                      // $2a8 sel_680
38 02a9          pushi 2a9                      // $2a9 sel_681
38 02b2          pushi 2b2                      // $2b2 sel_690
38 02b7          pushi 2b7                      // $2b7 sel_695
38 02bc          pushi 2bc                      // $2bc sel_700
38 02bd          pushi 2bd                      // $2bd sel_701
38 02be          pushi 2be                      // $2be sel_702
38 02bf          pushi 2bf                      // $2bf sel_703
38 02c0          pushi 2c0                      // $2c0 sel_704
38 02c1          pushi 2c1                      // $2c1 sel_705
38 02c4          pushi 2c4                      // $2c4 sel_708
38 02c5          pushi 2c5                      // $2c5 sel_709
38 02c6          pushi 2c6                      // $2c6 sel_710
38 02c7          pushi 2c7                      // $2c7 sel_711
38 02d0          pushi 2d0                      // $2d0 sel_720
38 02e9          pushi 2e9                      // $2e9 sel_745
38 02ee          pushi 2ee                      // $2ee sel_750
38 02f0          pushi 2f0                      // $2f0 sel_752
38 02f1          pushi 2f1                      // $2f1 sel_753
38 02f2          pushi 2f2                      // $2f2 sel_754
38 02f3          pushi 2f3                      // $2f3 sel_755
38 02f4          pushi 2f4                      // $2f4 sel_756
38 02fb          pushi 2fb                      // $2fb sel_763
38 02fc          pushi 2fc                      // $2fc sel_764
38 02ff          pushi 2ff                      // $2ff sel_767
38 0303          pushi 303                      // $303 sel_771
38 030d          pushi 30d                      // $30d sel_781
38 0318          pushi 318                      // $318 sel_792
38 031f          pushi 31f                      // $31f sel_799
38 0320          pushi 320                      // $320 sel_800
38 0321          pushi 321                      // $321 sel_801
38 0323          pushi 323                      // $323 sel_803
38 0324          pushi 324                      // $324 sel_804
38 0325          pushi 325                      // $325 sel_805
38 0326          pushi 326                      // $326 sel_806
38 0327          pushi 327                      // $327 sel_807
38 0328          pushi 328                      // $328 sel_808
38 0329          pushi 329                      // $329 sel_809
38 032a          pushi 32a                      // $32a sel_810
38 032c          pushi 32c                      // $32c sel_812
38 0334          pushi 334                      // $334 sel_820
38 0339          pushi 339                      // $339 sel_825
38 033e          pushi 33e                      // $33e sel_830
38 0343          pushi 343                      // $343 sel_835
38 0348          pushi 348                      // $348 sel_840
38 034d          pushi 34d                      // $34d sel_845
38 0352          pushi 352                      // $352 sel_850
38 0353          pushi 353                      // $353 sel_851
38 0354          pushi 354                      // $354 sel_852
38 0355          pushi 355                      // $355 sel_853
38 0356          pushi 356                      // $356 sel_854
38 0357          pushi 357                      // $357 sel_855
38 0359          pushi 359                      // $359 sel_857
38 035a          pushi 35a                      // $35a sel_858
38 035c          pushi 35c                      // $35c sel_860
38 035d          pushi 35d                      // $35d sel_861
38 037a          pushi 37a                      // $37a sel_890
38 037b          pushi 37b                      // $37b sel_891
38 037c          pushi 37c                      // $37c sel_892
38 037d          pushi 37d                      // $37d sel_893
38 0381          pushi 381                      // $381 sel_897
38 0383          pushi 383                      // $383 sel_899
38 0384          pushi 384                      // $384 sel_900
38 0385          pushi 385                      // $385 sel_901
38 0386          pushi 386                      // $386 sel_902
38 0388          pushi 388                      // $388 sel_904
38 0389          pushi 389                      // $389 sel_905
38 038a          pushi 38a                      // $38a sel_906
38 038b          pushi 38b                      // $38b sel_907
38 038c          pushi 38c                      // $38c sel_908
38 038e          pushi 38e                      // $38e sel_910
38 0391          pushi 391                      // $391 sel_913
38 0393          pushi 393                      // $393 sel_915
38 0394          pushi 394                      // $394 sel_916
38 0398          pushi 398                      // $398 sel_920
38 0399          pushi 399                      // $399 sel_921
38 039b          pushi 39b                      // $39b sel_923
38 039e          pushi 39e                      // $39e sel_926
38 039f          pushi 39f                      // $39f sel_927
38 03a0          pushi 3a0                      // $3a0 sel_928
38 03a1          pushi 3a1                      // $3a1 sel_929
38 03a2          pushi 3a2                      // $3a2 sel_930
38 03a3          pushi 3a3                      // $3a3 sel_931
38 03a4          pushi 3a4                      // $3a4 sel_932
38 03a6          pushi 3a6                      // $3a6 sel_934
38 03a9          pushi 3a9                      // $3a9 sel_937
38 03aa          pushi 3aa                      // $3aa sel_938
38 03ab          pushi 3ab                      // $3ab sel_939
38 03ac          pushi 3ac                      // $3ac sel_940
38 03ad          pushi 3ad                      // $3ad sel_941
38 03af          pushi 3af                      // $3af sel_943
38 03b5          pushi 3b5                      // $3b5 sel_949
38 03b6          pushi 3b6                      // $3b6 sel_950
38 03b7          pushi 3b7                      // $3b7 sel_951
38 03b9          pushi 3b9                      // $3b9 sel_953
38 03bb          pushi 3bb                      // $3bb sel_955
38 03bc          pushi 3bc                      // $3bc sel_956
38 03be          pushi 3be                      // $3be sel_958
38 03c4          pushi 3c4                      // $3c4 sel_964
38 03c8          pushi 3c8                      // $3c8 sel_968
38 03c9          pushi 3c9                      // $3c9 sel_969
38 03ca          pushi 3ca                      // $3ca sel_970
38 03cb          pushi 3cb                      // $3cb sel_971
38 03cd          pushi 3cd                      // $3cd sel_973
38 03ce          pushi 3ce                      // $3ce sel_974
38 03d6          pushi 3d6                      // $3d6 sel_982
38 03d9          pushi 3d9                      // $3d9 sel_985
38 03de          pushi 3de                      // $3de sel_990
38 03df          pushi 3df                      // $3df sel_991
38 03e1          pushi 3e1                      // $3e1 sel_993
38 03e2          pushi 3e2                      // $3e2 sel_994
38 03e3          pushi 3e3                      // $3e3 sel_995
38 03e7          pushi 3e7                      // $3e7 sel_999
38 03e8          pushi 3e8                      // $3e8 sel_1000
38 03ed          pushi 3ed                      // $3ed sel_1005
38 03f0          pushi 3f0                      // $3f0 sel_1008
38 03f2          pushi 3f2                      // $3f2 sel_1010
38 03f7          pushi 3f7                      // $3f7 sel_1015
38 03fa          pushi 3fa                      // $3fa sel_1018
38 03fb          pushi 3fb                      // $3fb sel_1019
38 03fc          pushi 3fc                      // $3fc sel_1020
38 03fd          pushi 3fd                      // $3fd sel_1021
38 03fe          pushi 3fe                      // $3fe sel_1022
38 03ff          pushi 3ff                      // $3ff sel_1023
38 0400          pushi 400                      // $400 sel_1024
38 0401          pushi 401                      // $401 sel_1025
38 0402          pushi 402                      // $402 sel_1026
38 0403          pushi 403                      // $403 sel_1027
38 0404          pushi 404                      // $404 sel_1028
38 0405          pushi 405                      // $405 sel_1029
38 042e          pushi 42e                      // $42e sel_1070
38 044c          pushi 44c                      // $44c sel_1100
38 0456          pushi 456                      // $456 sel_1110
38 0460          pushi 460                      // $460 sel_1120
38 0474          pushi 474                      // $474 sel_1140
38 047e          pushi 47e                      // $47e sel_1150
38 0488          pushi 488                      // $488 sel_1160
38 0489          pushi 489                      // $489 sel_1161
38 048a          pushi 48a                      // $48a sel_1162
38 048c          pushi 48c                      // $48c sel_1164
38 048e          pushi 48e                      // $48e sel_1166
38 048f          pushi 48f                      // $48f sel_1167
38 0490          pushi 490                      // $490 sel_1168
38 0491          pushi 491                      // $491 sel_1169
38 0492          pushi 492                      // $492 sel_1170
38 0493          pushi 493                      // $493 sel_1171
38 049b          pushi 49b                      // $49b sel_1179
38 049c          pushi 49c                      // $49c sel_1180
38 04a1          pushi 4a1                      // $4a1 sel_1185
38 04a6          pushi 4a6                      // $4a6 sel_1190
38 04b0          pushi 4b0                      // $4b0 sel_1200
38 04ba          pushi 4ba                      // $4ba sel_1210
38 04c4          pushi 4c4                      // $4c4 sel_1220
38 04c7          pushi 4c7                      // $4c7 sel_1223
38 04c9          pushi 4c9                      // $4c9 sel_1225
38 04ca          pushi 4ca                      // $4ca sel_1226
38 04e2          pushi 4e2                      // $4e2 sel_1250
38 04ec          pushi 4ec                      // $4ec sel_1260
38 04f6          pushi 4f6                      // $4f6 sel_1270
38 0500          pushi 500                      // $500 sel_1280
38 050a          pushi 50a                      // $50a sel_1290
38 0514          pushi 514                      // $514 sel_1300
38 051e          pushi 51e                      // $51e sel_1310
38 051f          pushi 51f                      // $51f sel_1311
